No,M,AoA,Cl,Cd,Cp
317,0.731026,2.335094,0.72323,0.013423,-1.114497
318,0.728532,2.562755,0.761212,0.014283,-1.056683
319,0.729737,2.539475,0.757554,0.014436,-1.149191
320,0.721789,2.437668,0.727569,0.012089,-0.623176
321,0.732938,2.104904,0.684842,0.012541,-1.090692
322,0.723989,2.359851,0.717267,0.012094,-0.608789
323,0.731757,2.156366,0.692621,0.012566,-1.043722
324,0.727218,2.443626,0.738011,0.013138,-0.828958
325,0.721196,2.249841,0.691366,0.011345,-0.673236
326,0.727832,2.256145,0.704708,0.012285,-0.725781
327,0.741553,1.862025,0.650637,0.013252,-1.135044
328,0.724212,2.416594,0.72808,0.012388,-0.606504
329,0.728138,2.225235,0.699466,0.012193,-0.729276
330,0.724858,2.500419,0.744799,0.012936,-0.64757
331,0.733619,2.374188,0.732773,0.014419,-1.200647
332,0.730865,2.472066,0.74776,0.014314,-1.179704
333,0.735515,2.202001,0.704702,0.013787,-1.178502
334,0.727514,2.675391,0.778595,0.014815,-1.023666
335,0.728697,2.373028,0.727482,0.013075,-0.916099
336,0.728464,2.409056,0.733563,0.01323,-0.920903
337,0.732782,2.824144,0.8061,0.018084,-1.291755
338,0.72518,2.160209,0.682261,0.011467,-0.626421
339,0.725048,2.590383,0.761393,0.013525,-0.709569
340,0.730781,2.26515,0.711005,0.012936,-1.030036
341,0.735923,2.464512,0.749102,0.015877,-1.231522
342,0.733188,2.60013,0.770259,0.016066,-1.24819
343,0.733972,2.466846,0.748203,0.015216,-1.223943
344,0.732088,2.294455,0.717836,0.013456,-1.149684
345,0.731436,2.192421,0.6986,0.012691,-1.043516
346,0.736267,2.345792,0.729271,0.015041,-1.210357
347,0.730934,2.554588,0.76112,0.01492,-1.208468
348,0.733454,2.15317,0.694197,0.012926,-1.128915
349,0.729379,2.410243,0.735092,0.013475,-1.019095
350,0.735326,2.227729,0.708966,0.013905,-1.182373
351,0.725717,2.294066,0.708052,0.012086,-0.619518
352,0.73408,2.097026,0.684931,0.012761,-1.129771
353,0.731617,2.3576,0.728255,0.013731,-1.159104
